#This is a comment
#Particle charge px[MeV] py[MeV] pz[Mev]
electron 1 -83.9432 -163.268 165.852
electron 1 58.2756 -156.248 238.41
muon -1 51.34 -201.833 236.411
muon 1 177.602 43.0967 147.047
electron -1 95.6559 34.1528 -174.325
pion 1 69.3298 -15.3755 -149.59
muon -1 117.43 -188.141 239.624
muon 1 -106.468 -60.6304 114.943
pion 1 44.7802 174.712 -131.237
muon -1 -109.639 19.0752 110.682
pion -1 -97.6484 -5.77692 58.1969
electron -1 18.8113 233.905 105.371
electron -1 -170.232 4.25306 -8.38142
muon -1 -196.867 -17.8575 -192.89
pion 1 6.10824 -52.3102 -224.035
electron 1 129.239 246.266 201.736
pion -1 -178.464 -226.166 126.839
muon 1 134.914 -178.868 -61.7747
muon -1 -3.40128 162.234 -14.1769
muon 1 -162.012 -115.165 -125.507
pion -1 -109.367 -139.04 79.3215
pion 1 -20.8948 -241.95 160.873
muon -1 -43.6353 225.127 -76.5098
pion -1 -80.2694 144.595 -35.6071
electron 1 165.859 -190.447 206.056
electron -1 193.703 58.6741 195.384
pion 1 128.715 12.6 47.3455
electron 1 -246.275 -138.671 243.165
electron -1 218.492 -243.357 -217.603
muon -1 81.05 181.795 246.02
pion 1 88.9187 -26.6999 223.569
electron -1 -97.097 -184.944 10.7526
electron 1 -141.594 21.6881 160.651
electron -1 -39.5651 -171.526 -161.745
muon -1 -165.201 210.004 198.992
pion 1 -116.252 175.675 210.193
pion 1 -9.63683 -22.2774 -80.7128
muon -1 -177.257 169.072 171.061
muon 1 -227.145 78.8489 130.144
pion -1 -77.078 -240.603 -141.433
pion 1 -84.3583 247.634 -32.3557
muon -1 185.113 -130.215 57.1491
electron -1 -104.612 -197.209 -183.061
electron -1 222.032 162.245 205.715
pion 1 -84.527 124.103 -163.587
muon -1 89.2813 -17.9092 -194.216
electron 1 42.9808 81.3821 -38.972
muon 1 19.2479 236.25 -161.136
muon -1 -173.735 -84.5969 -116.67
pion 1 124.59 50.4614 -157.223
muon -1 166.752 -121.992 130.507
muon 1 -55.3163 249.973 10.2013
pion -1 -192.615 146.127 -174.269
muon -1 -110.184 -46.8575 37.3803
pion 1 225.961 177.056 49.5636
pion 1 38.54 220.255 -104.519
muon -1 38.0397 -228.37 -212.989
muon -1 177.748 -184.269 97.1883
pion 1 -249.582 132.023 -103.197
muon 1 175.468 -49.3595 31.1846
muon 1 -129.701 116.544 -178.233
pion 1 -132.276 229.105 82.4427
pion 1 124.364 -233.454 23.3292
pion -1 -206.702 -61.5536 245.002
pion 1 -194.414 221.283 69.2473
electron 1 -168.058 -70.0824 166.102
muon -1 -146.015 33.8468 247.081
electron -1 245.523 142.043 232.105
electron -1 -200.034 -174.669 160.667
pion -1 76.9358 144.109 -225.903
muon -1 242.386 61.5058 137.789
pion 1 4.68071 -225.551 221.408
muon -1 73.537 219.478 -198.65
electron 1 118.596 217.781 202.281
muon -1 236.963 -180.192 -180.636
pion -1 -10.8617 161.675 162.234
electron 1 -188.632 165.293 -16.9086
muon -1 248.283 -14.1648 -9.73542
pion -1 -149.137 226.887 -100.877
pion -1 77.5698 121.298 -104.007
electron -1 -90.8215 -87.3054 225.867
electron -1 117.425 79.5902 113.86
muon -1 -168.136 34.9453 -8.42815
muon 1 229.714 100.857 -9.88423
pion 1 -248.566 -20.8163 164.275
muon -1 -2.94322 -172.891 -112.766
pion 1 -69.864 -240.474 61.9029
electron -1 -157.436 197.25 -74.2771
pion 1 232.216 -138.033 177.821
muon -1 99.655 220.512 79.3716
pion 1 21.2528 109.173 230.574
electron -1 150.985 151.942 -138.173
electron 1 -203.772 210.053 -183.485
pion 1 106.253 212.12 138.597
electron 1 102.349 215.695 -168.787
muon -1 -161.338 -216.536 -228.329
pion -1 193.213 -208.207 -85.0266
pion 1 14.6851 -122.569 -168.885
pion -1 -29.4654 -27.3025 -54.6588
muon 1 90.5714 43.8915 -20.7118
electron -1 65.5041 3.68151 223.619
muon -1 -36.6666 -35.2804 238.793
muon -1 -42.3515 218.252 -36.5373
pion 1 147.627 3.27282 -51.3981
muon -1 77.078 -0.993217 235.085
pion -1 -154.507 -17.9329 67.1198
muon -1 -152.251 6.13197 44.5919
electron 1 -235.853 -15.561 -112.255
electron -1 -220.213 149.154 -4.50421
muon 1 -217.048 -135.895 -221.967
muon 1 129.036 -93.1708 116.378
muon -1 42.6348 125.491 41.0572
pion 1 -64.303 -117.949 -157.081
muon 1 -183.628 117.374 137.112
electron 1 206.948 -105.914 -122.628
pion 1 161.959 70.0298 -98.1705
pion 1 -238.09 -114.364 221.65
pion -1 87.5992 -126.299 150.076
muon -1 -125.262 -124.027 112.233
muon 1 73.4548 -51.5292 142.695
pion 1 244.657 -122.663 71.9016
electron -1 182.188 -234.761 -173.68
muon 1 -243.963 20.7545 -157.964
pion 1 211.138 58.3549 35.3104
electron 1 -114.91 -163.758 43.0185
electron -1 172.842 -131.348 116.837
electron -1 90.2958 -126.977 -45.3292
pion 1 -42.9851 20.6039 14.9477
muon -1 -82.924 -175.673 -239.834
muon -1 92.3592 75.2122 -236.557
pion 1 83.2091 -234.762 -184.96
muon 1 -24.8293 -149.493 -25.9907
muon -1 5.30357 5.2636 92.9783
pion 1 81.7163 242.873 -175.939
muon -1 151.006 125.772 -231.504
electron -1 94.2993 -135.082 222.774
electron -1 -205.816 58.5191 -34.4254
electron 1 -25.3592 -142.142 33.2229
pion 1 80.9821 104.287 23.3514
electron -1 -95.19 1.23951 -89.0102
muon -1 248.293 92.9097 249.681
muon -1 83.4967 161.585 93.2714
electron -1 165.467 -156.718 182.599
pion -1 42.7584 55.7111 111.967
pion 1 131.658 179.361 -66.376
electron -1 96.5308 -181.005 -57.2539
muon -1 -168.684 114.818 -129.847
pion -1 -165.884 163.426 37.6525
muon 1 -63.6092 80.6133 -34.1024
pion -1 -89.0384 -33.4618 175.652
pion -1 -164.747 219.412 150.502
electron 1 -139.122 -51.0801 17.2945
electron 1 -178.757 185.838 170.742
muon -1 27.3971 3.25606 -110.592
muon -1 215.622 228.341 55.4939
pion -1 -160.533 53.9591 -156.087
muon -1 -24.0272 -99.5932 185.06
electron -1 -153.847 -137.438 119.052
pion -1 -35.2489 -168.978 29.2874
muon 1 -204.556 131.329 -190.264
muon 1 -208.645 84.1166 125.95
electron -1 -194.159 -89.8867 104.37
muon 1 -141.87 -66.8955 46.1613
muon 1 -8.19454 -71.458 -84.9559
muon -1 82.3393 57.4278 29.6009
muon -1 60.3211 -120.122 151.66
muon 1 -192.704 -99.5326 231.082
muon -1 38.3861 73.1967 -224.896
electron 1 96.0101 -221.912 234.57
pion 1 -209.156 -24.7353 218.963
muon -1 -23.5872 95.8874 70.101
muon -1 -234.556 -164.662 -140.928
pion -1 -39.8985 1.90445 -103.777
muon -1 -149.387 212.861 246.651
muon 1 -226.272 175.89 100.23
muon -1 160.567 -16.6927 168.708
muon -1 204.06 -188.549 -25.9559
muon -1 -110.451 118.281 -213.885
pion 1 -48.9937 171.202 -82.4964
muon -1 85.6384 -1.62053 -48.5849
electron -1 184.057 233.626 -119.214
muon -1 -145.512 -213.339 197.474
muon -1 249.72 221.408 7.52892
muon -1 -56.7587 -21.924 14.1875
muon -1 71.7423 -237.021 -236.59
electron 1 -99.4028 56.7317 200.022
muon 1 -168.791 -10.9484 -166.073
electron -1 -75.1583 54.6618 -246.545
pion -1 24.3822 180.571 -68.6649
electron 1 194.084 32.5488 -39.4372
muon -1 -174.63 154.377 -25.581
muon -1 176.465 143.235 -205.518
muon -1 -48.2545 -63.5972 115.312
muon 1 9.79074 -136.772 138.432
muon 1 52.4539 -125.66 48.5354
muon -1 -214.926 90.19 164.623
pion 1 146.224 81.2402 92.7457
muon -1 -100.027 -155.73 223.786
electron 1 0.419655 -41.5518 -43.5422
pion -1 136.086 -147.394 128.957
muon 1 -16.3709 -190.795 -180.953
electron -1 127.751 242.78 -2.38563
muon -1 187.002 -85.6661 -122.732
electron 1 -151.381 137.921 -19.9216
pion 1 -10.8327 42.2352 -204.56
pion 1 173.974 82.0711 42.7598
muon -1 141.105 33.9343 -170.037
muon 1 35.8095 26.2459 53.949
pion -1 -188.643 115.48 89.033
muon -1 229.617 -85.0111 163.569
muon -1 148.636 -195.835 91.9354
muon -1 -52.9666 -156.364 -185.233
pion -1 104.486 -223.705 45.2855
electron 1 -194.485 -0.303644 144.74
pion -1 -48.5887 132.419 -231.475
muon -1 -242.087 -176.956 -238.832
muon -1 -87.9108 -219.69 -137.463
muon 1 -224.843 202.064 -148.335
muon -1 42.4948 159.638 45.399
pion -1 -132.242 33.3524 86.872
pion -1 20.7307 -234.346 -187.744
pion -1 -142.918 162.931 237.197
pion -1 232.366 121.972 136.744
electron 1 -200.978 -190.287 -145.565
muon -1 -107.963 -68.1934 -196.601
muon -1 -249.381 -218.334 -180.48
pion 1 34.4238 -87.5309 -55.1988
pion 1 -8.18388 -138.957 -47.3326
pion 1 -35.9148 130.957 172.62
electron 1 -23.2617 220.266 -17.7828
muon 1 -246.496 -46.9102 207.436
electron 1 211.155 -3.15746 -228.586
pion 1 -177.24 -205.813 27.3744
muon 1 -243.664 189.916 143.721
muon -1 53.1691 46.3518 -233.897
muon -1 -91.619 1.85658 224.483
muon 1 -122.763 -13.2777 -77.93
electron -1 8.23575 -219.703 -33.7131
pion -1 130.812 169.864 -202.489
muon -1 34.3348 7.47723 59.2374
muon -1 224.574 -137.677 -22.3296
muon 1 174.749 161.521 44.7332
muon 1 114.878 -109.711 -230.944
pion -1 -129.151 24.3882 -57.278
muon 1 -246.27 6.33694 -3.32219
pion 1 -222.399 176.731 80.5435
muon -1 90.5323 -20.9222 24.9827
pion 1 -164.988 116.448 -166.663
electron 1 166.012 -163.347 102.485
pion 1 90.3747 -141.165 203.369
muon -1 128.789 181.72 26.3943
pion -1 -224.147 129.893 -192.196
pion -1 -33.7867 226.795 70.9705
pion -1 -117.65 161.25 227.294
pion -1 194.693 -163.694 -44.0565
muon -1 -15.3242 -98.6047 -216.214
electron 1 20.924 84.9313 -57.1116
muon -1 -161.584 42.8335 -72.4808
muon -1 -10.0644 -193.774 128.636
pion -1 218.441 -62.3564 -201.028
electron 1 -170.327 -221.975 -42.0027
muon -1 -106.126 61.7612 -127.446
muon -1 124.829 -146.389 40.6619
muon 1 4.38797 82.1384 249.264
pion -1 15.1877 -120.038 112.74
electron -1 27.1673 31.0966 16.6002
electron 1 -60.0267 -202.794 86.4925
muon 1 171.637 -226.697 158.005
muon 1 191.885 -98.6087 89.3522
pion -1 -52.2824 212.903 203.777
pion -1 188.662 -156.692 -66.5655
muon 1 93.0204 245.238 -163.554
pion 1 -154.272 -218.424 67.9907
pion -1 107.339 24.1443 118.161
muon -1 177.918 249.185 43.3185
pion 1 -70.3722 -247.517 -178.502
pion 1 151.6 58.4327 -144.18
muon -1 -161.991 -43.7316 -124.365
pion 1 230.107 -41.1208 168.101
pion -1 -55.9964 -144.711 49.1832
electron 1 -51.5446 236.026 -117.833
pion 1 -224.179 244.024 -237.403
muon -1 -110.424 87.6432 -67.2401
muon 1 -223.131 -113.307 -217.003
pion 1 -234.384 66.5293 155.469
pion 1 -67.0987 -82.9828 38.8089
pion -1 243.058 75.7205 64.0543
electron 1 -233.411 2.17448 -71.8598
pion 1 -106.635 -116.393 157.574
muon -1 -105.821 25.5081 226.982
muon -1 19.8639 -159.345 26.4494
muon -1 76.7944 159.506 223.296
muon 1 -14.4488 198.625 -82.029
muon 1 247.866 -12.6009 -237.34
pion -1 -204.154 -75.7945 -232.944
muon -1 -15.4494 -187.964 180.29
pion -1 168.257 191.329 131.08
electron 1 140.682 -43.716 -204.769
electron -1 -47.5144 209.363 57.4557
pion -1 228.064 87.9486 177.616
pion -1 -9.61582 184.908 -15.5286
muon -1 207.511 78.6811 30.5142
electron -1 -213.84 -72.7405 158.464
pion -1 234.426 -159.765 -123.763
pion 1 123.226 113.364 -42.8894
pion 1 -101.147 218.28 -32.6141
pion 1 28.4965 -98.9619 -249.776
muon -1 -145.254 -63.9383 -96.9911
electron -1 -45.5284 248.327 -66.4988
muon -1 -168.24 -38.2463 21.8135
electron 1 -21.6571 -218.222 177.599
muon 1 200.333 -79.0635 204.747
pion -1 -174.202 158.158 -182.951
pion -1 195.684 -1.4615 15.3983
pion 1 -212.778 -43.6308 -37.7261
muon -1 -131.327 -57.5398 150.764
muon 1 -123.662 208.852 -8.15331
electron -1 46.6504 226.915 -209.491
pion -1 242.493 -76.1895 126.831
muon 1 138.001 194.287 138.003
pion -1 -75.4404 -204.43 -209.749
pion 1 -144.21 31.5384 -53.7563
muon -1 16.1659 -231.992 109.418
pion -1 39.6225 -206.548 -150.92
muon 1 73.3826 160.951 186.284
electron -1 -174.542 87.4933 -116.567
pion 1 -41.8055 44.2114 -48.6957
pion 1 119.367 10.5695 -108.952
electron 1 -2.88867 -200.464 -70.8275
electron 1 160.817 73.3669 100.001
muon 1 148.117 -71.5746 5.65572
muon -1 193.776 -199.392 83.0996
electron 1 129.731 219.108 -65.0126
muon 1 67.8699 -209.186 57.8499
electron 1 235.867 -77.9338 -36.1267
pion -1 84.132 -8.1458 -218.478
electron 1 20.3185 147.634 -110.684
muon 1 49.0167 247.165 -177.94
pion 1 57.7131 97.1219 -54.4908
pion 1 -149.608 -187.446 -119.53
muon -1 -143.753 146.7 -19.5153
pion 1 138.514 -164.612 148.909
pion -1 -136.129 199.508 244.803
muon -1 -55.2874 -198.899 87.5479
pion 1 184.547 67.5839 -144.925
muon 1 193.113 152.081 146.126
muon -1 -151.444 61.571 -168.362
muon -1 -248.317 96.9312 -186.344
electron -1 -208.298 73.466 -238.001
electron 1 152.491 66.8834 68.4368
muon 1 191.585 -181.879 53.651
pion -1 55.4689 -0.989268 105.549
muon -1 -243.419 64.6654 107.821
pion -1 -39.09 -81.6574 -108.664
electron 1 -220.809 -78.834 60.0296
electron 1 -186.172 195.6 -132.211
pion 1 243.903 10.646 88.0626
muon 1 -212.83 35.2406 -11.7256
electron -1 -185.38 -242.225 -31.2622
pion 1 -163.346 225.717 -171.041
pion 1 -237.996 -12.9317 179.609
muon 1 -195.463 -104.776 -87.439
electron -1 199.382 149.513 138.53
muon -1 -38.7935 112.5 101.068
electron 1 83.2692 211.926 194.074
pion 1 26.1081 107.848 -189.794
pion 1 143.141 151.671 143.45
pion -1 -77.5159 220.287 124.763
electron -1 24.8495 113.354 161.005
muon 1 -7.80574 -144.776 -74.9845
muon -1 -71.4641 -212.626 138.105
electron -1 193.44 -159.565 59.2915
muon -1 107.046 -120.709 204.744
muon -1 221.61 -8.4827 174.347
pion -1 127.648 -125.427 207.002
pion 1 209.938 -103.347 -156.456
electron -1 168.478 -127.337 47.6401
muon -1 100.441 52.007 -162.011
electron 1 195.498 216.206 -17.6147
pion -1 98.2954 -144.19 -225.502
pion -1 149.105 155.544 243.118
pion -1 6.49482 -174.515 142.823
muon 1 -72.8265 -35.3893 -202.964
pion -1 -227.636 -146.999 28.2366
electron 1 -52.8413 248.784 -26.5182
muon 1 211.679 -230.633 -0.876428
muon -1 31.1198 -142.389 152.373
pion -1 156.119 -70.5073 88.9875
muon -1 -72.7193 -12.1749 -100.147
muon 1 -215.38 -76.5972 208.87
muon 1 -67.1268 235.581 -55.7233
muon -1 161.077 -115.478 33.1257
pion -1 -128.422 58.6599 -125.424
pion -1 53.8487 -38.8081 -190.191
pion 1 -199.065 176.953 -25.5652
muon -1 168.112 -16.4428 -51.454
muon -1 183.63 -73.8791 -248.448
muon 1 -35.503 -21.4183 1.5502
muon -1 151.288 17.6355 213.557
pion -1 236.051 -105.765 -244.856
electron 1 208.641 -43.1418 96.0648
muon -1 -93.1955 244.688 -113.678
muon 1 -160.566 -73.4829 -117.605
electron -1 228.306 107.104 134.8
muon 1 160.344 234.25 174.162
muon 1 -28.4825 227.494 -125.546
muon 1 -127.835 -160.963 -129.256
electron 1 -86.4423 -97.9191 -216.635
muon -1 -4.94423 -104.782 -35.5989
pion -1 -48.3494 236.016 -57.7167
pion -1 -172.011 -199.419 71.8034
electron 1 -46.8639 197.013 61.0437
muon -1 80.1797 -187.658 -156.638
electron -1 -173.033 -225.987 78.6607
muon -1 -103.095 205.285 128.768
muon 1 185.419 30.7111 108.542
muon -1 145.645 61.1773 95.4354
pion -1 118.878 231.827 61.5916
pion 1 146.752 211.033 -169.528
electron -1 63.6873 -75.4984 180.052
muon -1 232.795 -241.676 40.8714
pion 1 188.229 -236.042 -31.4657
pion -1 235.194 41.6266 127.353
electron 1 8.12579 118.736 -1.33715
muon -1 17.8708 -96.1388 -2.67526
muon -1 93.5953 117.489 143.845
electron 1 63.5023 76.1433 -246.196
muon -1 100.31 -177.569 -35.2092
electron 1 -85.5003 202.394 113.862
electron -1 89.8746 -24.6499 177.059
muon -1 123.937 -216.285 47.0167
electron 1 176.975 -197.519 -239.815
electron 1 4.40039 -236.794 -195.855
muon -1 -126.561 -178.693 -66.5585
muon 1 -220.981 -79.3871 -54.8337
pion 1 -9.86957 201.487 105.623
muon -1 -198.563 -71.5105 -237.337
muon 1 69.3509 -165.855 -216.906
muon -1 -41.3332 182.931 23.0953
pion -1 224.342 -0.796156 185.47
pion 1 -139.852 -0.152468 114.234
electron -1 -140.734 23.3543 20.3931
muon 1 40.4661 66.047 218.578
muon -1 150.054 -213.609 196.64
electron 1 -170.087 -9.72352 -197.261
muon -1 -132.595 -182.13 186.226
pion 1 -168.183 -228.115 -243.896
muon -1 -86.6583 85.3132 -59.2989
pion 1 -42.1829 3.14141 242.294
muon 1 -246.502 -177.177 -82.4489
electron 1 -197.554 -67.7328 181.985
muon 1 -118.274 -35.882 246.593
electron 1 205.383 -105.392 58.8968
pion -1 -48.9497 -240.868 -207.051
pion -1 -129.953 -19.0296 -30.3083
pion 1 104.815 50.466 -97.74
electron 1 -86.0452 -137.918 186.827
pion 1 -30.139 -108.358 -90.0957
muon 1 -153.614 -146.086 -132.573
pion -1 35.526 53.797 240.569
pion 1 -67.3783 -223.18 84.2562
muon 1 -116.008 -80.8169 -64.0193
pion -1 -100.564 162.753 88.8239
pion -1 75.7174 241.908 -79.0265
electron -1 157.765 -142.799 -82.2789
electron -1 161.622 -171.111 -41.6195
pion -1 78.6847 -172.492 -134.217
electron 1 239.539 209.382 -129.331
pion -1 -148.342 216.089 -174.226
pion -1 171.574 -121.96 222.654
electron 1 90.5496 164.966 -105.723
muon -1 -170.976 -94.487 -248.514
pion 1 -245.046 -212.581 59.8043
muon 1 -132.056 -213.735 -117.669
muon 1 146.543 -77.5564 4.03184
electron 1 -189.978 -45.7984 169.667
pion -1 25.5815 230.666 31.8584
electron -1 -67.201 -47.2222 -142.824
muon -1 63.3419 -130.041 -165.886
electron -1 80.339 -122.91 214.881
muon -1 150.203 -243.579 -227.342
muon -1 -46.9773 -216.898 -192.824
pion 1 51.473 237.493 97.5762
muon 1 -2.64573 231.557 -135.736
muon -1 -50.8865 221.154 -247.467
electron 1 88.8643 -178.555 -106.312
muon -1 -177.682 54.0109 -7.93741
pion -1 -230.693 -107.861 196.175
pion -1 -112.263 -238.533 -52.7594
pion 1 -22.1477 -190.947 144.504
electron 1 -40.2505 98.0762 134.85
pion -1 -162.478 -52.1668 137.732
electron 1 221.524 -182.264 -84.4447
electron -1 -81.3864 193.065 -5.57896
electron 1 130.1 97.5825 182.626
pion -1 -201.691 -141.145 -60.7914
muon 1 -63.5751 192.44 244.32
muon -1 -211.925 -181.682 -246.742
pion -1 206.344 -15.3797 -54.4459
electron -1 -217.944 -61.2417 -98.4176
pion -1 25.6228 96.747 -209.763
pion 1 233.961 -200.788 -161.982
muon -1 -57.6942 -51.8811 -10.7766
muon -1 -184.681 -96.3517 229.599
electron 1 97.2016 243.035 -214.423
muon 1 -55.9135 94.707 181.923
muon 1 -160.202 31.439 195.6
pion -1 22.3693 -23.4636 -235.255
muon -1 -184.671 -132.497 -131.721
electron 1 -73.4956 171.69 -206.657
pion -1 182.105 160.237 -150.786
pion -1 -20.8427 -248.507 -44.6334
pion -1 148.552 211.854 -242.41
muon 1 -221.81 -214.753 145.66
muon 1 69.9464 -121.871 150.384
pion 1 -1.21401 192.29 88.8897
muon -1 -170.267 122.027 192.214
electron 1 -134.33 92.1014 -77.9874
muon -1 82.6634 -125.536 -113.736
pion 1 -17.6417 195.743 112.173
pion 1 225.634 -41.6512 103.163
muon -1 136.269 248.277 221.15
pion -1 -118.946 -116.985 142.379
muon -1 -84.7414 100.299 219.646
pion -1 192.192 -231.981 -212.491
electron 1 169.313 225.242 -197.414
muon -1 -150.378 71.5121 -243.946
pion 1 227.697 161.324 -154.964
pion 1 -125.362 -138.168 112.625
electron 1 204.023 -125.778 -13.9562
electron 1 134.185 100.317 147.85
electron -1 6.4806 -115.751 -245.421
pion -1 88.9778 201.576 122.008
pion -1 -133.716 202.256 91.4005
pion -1 -231.003 52.3304 100.138
muon -1 126.774 -6.05534 138.258
muon 1 130.215 240.748 150.438
muon -1 61.5705 -134.97 -109.291
muon -1 -18.3933 -145.78 -200.041
pion 1 117.01 36.9031 54.7703
muon -1 -142.932 203.509 -36.4377
electron -1 87.713 -145.542 -6.43747
muon -1 -54.1658 199.651 19.5876
muon 1 -168.731 -205.946 219.004
electron 1 -39.7838 64.4511 164.524
muon 1 -206.9 -2.75636 -127.854
muon 1 -151.495 -188.216 -140.988
pion 1 109.78 152.616 -41.7481
electron -1 22.8321 115.251 -99.6611
electron 1 -4.79753 -60.7708 -184.398
pion 1 -181.148 -40.4598 -161.881
electron -1 -120.452 189.473 32.6211
electron -1 154.278 54.3552 58.4822
electron 1 194.195 -96.0103 241.782
muon -1 63.6413 -57.4862 -177.821
electron -1 -98.9246 186.007 16.9865
pion -1 -23.4786 -116.093 155.56
pion -1 -195.407 -15.3341 -73.3314
pion 1 -116.398 121.702 11.9674
muon -1 -15.3547 204.339 -189.676
pion 1 -127.007 -48.1151 201.779
muon 1 49.7979 221.938 35.4441
pion -1 93.2759 -72.7548 -43.5604
muon 1 161.168 -218.564 -237.37
electron 1 248.306 155.643 53.3445
pion -1 -246.37 211.59 58.5801
pion 1 -123.968 232.704 -110.521
electron 1 0.00760145 40.3373 222.015
pion -1 26.0474 57.0376 5.62378
pion -1 -164.924 185.377 -155.829
electron 1 85.0227 -171.512 -242.091
muon -1 175.359 82.0596 68.6265
electron 1 -242.85 17.2267 -43.2845
electron 1 103.334 -197.997 -195.494
pion 1 -156.593 -26.9459 159.41
electron 1 -24.7857 -51.4114 63.6604
muon 1 -249.691 -236.219 -240.168
electron 1 55.0438 13.3717 113.798
pion -1 206.502 -249.68 44.1669
pion -1 -22.0196 -35.2208 -155.624
electron 1 -34.4612 57.0463 -98.2264
pion -1 85.8215 138.351 -225.376
pion 1 -77.4144 -154.671 -48.3589
pion 1 -190.481 86.3648 -121.491
muon -1 55.7124 157.129 13.2822
pion 1 99.3415 175.778 -200.428
muon -1 42.7614 -221.785 189.615
pion 1 228.283 234.069 -25.2885
pion -1 -146.994 31.2135 -156.156
muon -1 147.001 109.096 -155.6
muon -1 151.383 83.6025 162.65
muon 1 -164.004 -247.905 67.1161
muon -1 -245.579 83.1673 -116.059
muon -1 4.16889 -158.192 51.4838
pion 1 183.505 71.7805 -150.379
electron 1 -11.101 24.9506 -76.7003
electron 1 91.3789 -35.9158 -11.7155
pion -1 173.052 49.3234 238.362
muon 1 -32.3452 -6.5017 -33.0179
pion -1 55.5576 246.692 -76.216
electron -1 191.912 216.988 36.4842
pion -1 -181.66 -142.823 185.062
muon 1 -86.5042 -68.5314 -247.796
electron -1 2.37247 -193.289 184.579
muon 1 86.0654 -37.1108 102.489
muon -1 167.272 79.0052 -0.928489
pion -1 173.952 -155.154 -194.008
pion 1 48.6731 -193.368 -54.6329
muon -1 191.108 36.1568 232.177
pion -1 -222.237 130.54 -30.2327
muon -1 -217.483 220.983 76.8179
muon -1 141.065 -29.4122 -1.82969
pion 1 -49.9456 -110.37 123.317
muon -1 243.427 13.8743 -132.55
electron 1 157.145 178.372 237.835
pion 1 144.863 11.4791 -135.863
muon 1 32.4698 -247.057 -7.58974
electron -1 -148.371 151.347 25.9794
electron 1 -5.4019 -142.085 -4.41083
electron 1 97.434 -176.893 131.144
muon -1 -146.587 90.7212 146.355
muon -1 75.284 100.917 150.557
muon 1 -84.4933 89.4495 -57.9431
pion 1 -180.572 21.8409 -142.757
pion -1 -157.408 -90.0973 226.283
pion -1 -68.0657 237.816 -2.85993
muon -1 -125.094 -120.538 171.234
muon 1 83.39 -28.1034 -50.8171
electron 1 94.1892 -125.696 97.3273
pion -1 215.91 137.142 -118.109
muon -1 103.237 224.966 -234.305
pion -1 -96.0956 -188.136 120.016
electron -1 -94.0413 53.5464 34.3093
muon 1 234.479 -7.25321 -242.493
pion -1 154.371 32.0336 -19.875
pion 1 -124.556 164.883 97.6732
electron 1 -188.275 119.346 234.114
pion -1 205.175 53.4226 -77.5535
pion -1 141.003 100.802 -17.7751
pion -1 66.9077 13.1444 170.327
pion -1 153.095 -90.4939 198.706
muon -1 -88.1479 -71.1625 145.246
muon -1 219.82 143.705 -242.043
muon -1 57.008 85.5564 26.981
pion -1 -244.207 198.529 -151.125
pion 1 -141.683 146.226 195.888
pion -1 109.979 -109.617 71.3135
pion 1 -8.52121 122.719 -95.0114
pion 1 -143.083 -233.717 117.459
muon -1 186.341 104.558 160.428
muon -1 -159.45 -7.5831 -157.369
pion 1 47.9038 18.5218 -179.574
pion 1 169.793 115.459 -171.068
electron -1 16.0808 -105.211 152.616
electron -1 21.9249 -27.8615 44.2294
electron -1 140.561 -83.3418 150.929
pion -1 -189.995 -199.844 -167.198
electron -1 -0.208465 -24.7824 193.116
electron -1 195.068 -187.171 6.2324
electron -1 -33.0221 13.9846 -69.9523
muon -1 -34.575 -165.466 149.371
muon 1 -243.921 -241.127 -15.8039
muon 1 -98.0932 110.238 27.1885
muon -1 -202.951 111.905 -36.3455
muon -1 -86.5418 210.824 -80.2086
electron 1 150.118 0.00633753 -43.2271
electron -1 -28.6455 -38.0504 102.82
muon -1 -136.864 29.4036 -245.639
muon -1 -21.5444 -73.459 149.18
muon -1 -178.682 77.1263 248.142
muon -1 -98.303 35.6323 180.658
muon 1 148.649 115.605 235.667
pion 1 -130.596 -206.405 -141.12
pion -1 -229.511 62.5295 -247.702
muon -1 229.579 157.551 -219.104
electron 1 212.861 -235.1 -194.439
muon -1 115.141 -183.189 -155.759
muon -1 124.269 70.8359 214.67
muon 1 -121.743 -230.003 32.2786
pion -1 -177.391 39.1729 -242.795
pion -1 57.9164 243.531 71.7239
muon -1 -180.75 -186.861 106.688
pion -1 27.2058 57.9619 53.4869
muon -1 180.218 5.13924 176.12
electron 1 214.436 -180.887 -204.689
muon 1 -140.008 132.448 1.67671
electron -1 245.844 65.7388 66.4203
muon -1 135.597 -229.705 -79.7254
pion 1 33.2344 -118.222 130.581
electron 1 63.2071 -77.9594 -61.136
muon -1 209.816 220.07 67.9321
muon 1 -70.3222 228.152 -201.939
electron 1 -187.099 79.0186 149.492
muon 1 -214.299 -29.7301 65.1988
electron -1 182.994 73.9713 -207.564
electron -1 155.221 145.267 73.915
pion -1 180.995 -66.0398 14.3841
muon -1 104.355 18.3269 -31.1193
muon -1 -97.3253 -122.15 -205.269
muon -1 -16.3839 137.323 154.067
pion -1 -123.969 -164.733 -43.6503
pion -1 210.746 -230.662 -169.969
pion 1 -75.0465 99.9315 33.2337
muon -1 248.505 54.7616 71.0455
electron 1 -106.984 -39.4802 83.0489
pion -1 -138.208 -102.352 180.88
pion -1 -159.636 181.038 21.4496
muon 1 10.3795 -146.228 128.125
pion -1 36.709 -134.12 10.7185
pion -1 -33.71 -47.687 -62.1486
electron 1 -245.311 182.637 -239.285
pion -1 -141.329 120.984 -69.3177
